motion_id,topic,source,confidence,classified_at
mace.calicotab.com:africaiv2026:73647,Media & Culture,model,0.375,2026-09-26T13:52:04.780788+00:00
inspired.calicotab.com:ALRR25:61593,Media & Culture,keyword,1.0,2026-09-26T13:52:04.780788+00:00
inspired.calicotab.com:ALRR25:61603,,,,2026-09-26T13:52:04.780788+00:00
inspired.calicotab.com:ALRR25:61617,Environment,keyword,1.0,2026-09-26T13:52:04.780788+00:00
inspired.calicotab.com:ALRR25:61686,Military & Security,keyword,1.0,2026-09-26T13:52:04.780788+00:00
inspired.calicotab.com:ALRR25:61693,Law & Criminal Justice,keyword,1.0,2026-09-26T13:52:04.780788+00:00
mace1996.calicotab.com:topuniversities2022:10602,Education,keyword,1.0,2026-09-26T13:52:04.780788+00:00
mace1996.calicotab.com:topuniversities2022:10601,Education,keyword,1.0,2026-09-26T13:52:04.780788+00:00
mace1996.calicotab.com:topuniversities2022:10599,,,,2026-09-26T13:52:04.780788+00:00
mace1996.calicotab.com:topuniversities2022:10600,,,,2026-09-26T13:52:04.780788+00:00
mace1996.calicotab.com:topuniversities2022:10598,Media & Culture,keyword,1.0,2026-09-26T13:52:04.780788+00:00
mace1996.calicotab.com:topuniversities2022:10597,Media & Culture,keyword,1.0,2026-09-26T13:52:04.780788+00:00
mace1996.calicotab.com:topuniversities2022:10595,Economics,keyword,1.0,2026-09-26T13:52:04.780788+00:00
mace1996.calicotab.com:topuniversities2022:10596,Economics,keyword,1.0,2026-09-26T13:52:04.780788+00:00
mace1996.calicotab.com:topuniversities2022:10593,Religion,keyword,1.0,2026-09-26T13:52:04.780788+00:00
mace1996.calicotab.com:topuniversities2022:10594,Religion,keyword,1.0,2026-09-26T13:52:04.780788+00:00
mace.calicotab.com:atudc2023:10696,Politics & Governance,keyword,1.0,2026-09-26T13:52:04.780788+00:00
mace.calicotab.com:atudc2023:10695,Politics & Governance,keyword,1.0,2026-09-26T13:52:04.780788+00:00
mace.calicotab.com:atudc2023:10694,Politics & Governance,keyword,1.0,2026-09-26T13:52:04.780788+00:00
mace.calicotab.com:atudc2023:10693,Politics & Governance,keyword,1.0,2026-09-26T13:52:04.780788+00:00
mace.calicotab.com:atudc2023:10692,,,,2026-09-26T13:52:04.780788+00:00
mace.calicotab.com:atudc2023:10691,,,,2026-09-26T13:52:04.780788+00:00
mace.calicotab.com:atudc2023:10689,,,,2026-09-26T13:52:04.780788+00:00
mace.calicotab.com:atudc2023:10690,,,,2026-09-26T13:52:04.780788+00:00
mace.calicotab.com:atudc2024:10883,,,,2026-09-26T13:52:04.780788+00:00
mace.calicotab.com:atudc2024:10882,,,,2026-09-26T13:52:04.780788+00:00
mace.calicotab.com:atudc2024:10881,Law & Criminal Justice,model,0.367,2026-09-26T13:52:04.780788+00:00
mace.calicotab.com:atudc2024:10880,,,,2026-09-26T13:52:04.780788+00:00
mace.calicotab.com:atudc2024:10879,,,,2026-09-26T13:52:04.780788+00:00
mace.calicotab.com:atudc2024:10878,Economics,keyword,1.0,2026-09-26T13:52:04.780788+00:00
mace.calicotab.com:atudc2024:10884,Economics,keyword,1.0,2026-09-26T13:52:04.780788+00:00
mace.calicotab.com:atudc2024:10877,Technology & Science,keyword,1.0,2026-09-26T13:52:04.780788+00:00
mace.calicotab.com:atudc2024:10876,Technology & Science,keyword,1.0,2026-09-26T13:52:04.780788+00:00
mace.calicotab.com:atudc2026:76945,,,,2026-09-26T13:52:04.780788+00:00
mace.calicotab.com:atudc2026:76967,,,,2026-09-26T13:52:04.780788+00:00
mace.calicotab.com:atudc2026:77002,,,,2026-09-26T13:52:04.780788+00:00
mace.calicotab.com:atudc2026:77166,International Relations,keyword,1.0,2026-09-26T13:52:04.780788+00:00
mace.calicotab.com:atudc2026:77209,Gender & Feminism,keyword,1.0,2026-09-26T13:52:04.780788+00:00
mace.calicotab.com:andl2023:10892,Health,keyword,1.0,2026-09-26T13:52:04.780788+00:00
mace.calicotab.com:andl2023:10893,Health,keyword,1.0,2026-09-26T13:52:04.780788+00:00
mace.calicotab.com:andl2023:10890,,,,2026-09-26T13:52:04.780788+00:00
mace.calicotab.com:andl2023:10887,Gender & Feminism,keyword,1.0,2026-09-26T13:52:04.780788+00:00
mace.calicotab.com:andl2023:10888,Gender & Feminism,keyword,1.0,2026-09-26T13:52:04.780788+00:00
mace.calicotab.com:andl2023:10885,Gender & Feminism,keyword,1.0,2026-09-26T13:52:04.780788+00:00
mace.calicotab.com:andl2023:10886,Gender & Feminism,keyword,1.0,2026-09-26T13:52:04.780788+00:00
mace1996.calicotab.com:andl2025:66013,,,,2026-09-26T13:52:04.780788+00:00
mace1996.calicotab.com:andl2025:66054,Media & Culture,keyword,1.0,2026-09-26T13:52:04.780788+00:00
mace1996.calicotab.com:andl2025:66055,Media & Culture,keyword,1.0,2026-09-26T13:52:04.780788+00:00
mace1996.calicotab.com:andl2025:66094,,,,2026-09-26T13:52:04.780788+00:00
mace1996.calicotab.com:andl2025:66093,,,,2026-09-26T13:52:04.780788+00:00
mace1996.calicotab.com:andl2025:66115,,,,2026-09-26T13:52:04.780788+00:00
mace1996.calicotab.com:andl2025:66116,,,,2026-09-26T13:52:04.780788+00:00
mace1996.calicotab.com:andl2025:66208,Economics,keyword,1.0,2026-09-26T13:52:04.780788+00:00
