host,slug,status,rounds
amsterdampre2026.calicotab.com,amsterdampre2026,"failed: ConnectionError: HTTPSConnectionPool(host='amsterdampre2026.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/amsterdampre2026/teams (Caused by NameResolutionError(""HTTPSConnection(host='amsterdampre2026.calicotab.com', port=443): Failed to resolve 'amsterdampre2026.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
anu.calicotab.com,spring21,"failed: ConnectionError: HTTPSConnectionPool(host='anu.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/spring21/teams (Caused by NameResolutionError(""HTTPSConnection(host='anu.calicotab.com', port=443): Failed to resolve 'anu.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
spring2022.calicotab.com,_,"failed: ConnectionError: HTTPSConnectionPool(host='spring2022.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/_/teams (Caused by NameResolutionError(""HTTPSConnection(host='spring2022.calicotab.com', port=443): Failed to resolve 'spring2022.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
anuspring2023.calicotab.com,anuspring2023,"failed: ConnectionError: HTTPSConnectionPool(host='anuspring2023.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/anuspring2023/teams (Caused by NameResolutionError(""HTTPSConnection(host='anuspring2023.calicotab.com', port=443): Failed to resolve 'anuspring2023.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
anuspring2024.calicotab.com,ANUSpring2024,"failed: ConnectionError: HTTPSConnectionPool(host='anuspring2024.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/ANUSpring2024/teams (Caused by NameResolutionError(""HTTPSConnection(host='anuspring2024.calicotab.com', port=443): Failed to resolve 'anuspring2024.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
anuspring2025.calicotab.com,anuspring2025,"failed: ConnectionError: HTTPSConnectionPool(host='anuspring2025.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/anuspring2025/teams (Caused by NameResolutionError(""HTTPSConnection(host='anuspring2025.calicotab.com', port=443): Failed to resolve 'anuspring2025.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
anuwinter22.calicotab.com,anuwinter22,"failed: ConnectionError: HTTPSConnectionPool(host='anuwinter22.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/anuwinter22/teams (Caused by NameResolutionError(""HTTPSConnection(host='anuwinter22.calicotab.com', port=443): Failed to resolve 'anuwinter22.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
midp.calicotab.com,aedc2021,"failed: ConnectionError: HTTPSConnectionPool(host='midp.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/aedc2021/teams (Caused by NameResolutionError(""HTTPSConnection(host='midp.calicotab.com', port=443): Failed to resolve 'midp.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
Midp.calicotab.com,apad2020,"failed: ConnectionError: HTTPSConnectionPool(host='midp.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/apad2020/teams (Caused by NameResolutionError(""HTTPSConnection(host='midp.calicotab.com', port=443): Failed to resolve 'midp.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
aodcbp22.calicotab.com,aodcbp22,"failed: ConnectionError: HTTPSConnectionPool(host='aodcbp22.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/aodcbp22/teams (Caused by NameResolutionError(""HTTPSConnection(host='aodcbp22.calicotab.com', port=443): Failed to resolve 'aodcbp22.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
